95	 -0.2400	 -0.2100	 -0.0100
95 s	 -0.1500	 -0.1700	 -0.0200
94	 -0.2400	 -0.2700	 -0.0100
94 s	 -0.2400	 -0.2200	 -0.0700
93	 -0.2300	 -0.2600	 -0.0200
93 s	 -0.2000	 -0.1900	 -0.0800
92	 -0.2500	 -0.2800	 -0.0100
92 s	 -0.1900	 -0.2000	 -0.0600
87	 -0.1900	 -0.1800	 -0.0500
87 s	 -0.1200	 -0.0400	 0.0800
86	 -0.2100	 -0.2100	 -0.0300
86 s	 -0.1300	 -0.0900	 -0.0700
85	 -0.2100	 -0.2200	 -0.0200
85 s	 -0.0900	 -0.1200	 -0.0200
84	 -0.2500	 -0.2500	 -0.0200
84 s	 -0.1900	 -0.1500	 -0.0800
83	 -0.2600	 -0.2900	 -0.0200
83 s	 -0.2600	 -0.2500	 -0.0600
82	 -0.2500	 -0.2700	 -0.0200
82 s	 -0.2200	 -0.1500	 -0.0600
76	 -0.1800	 -0.1300	 -0.0100
76 s	 -0.1000	 -0.1200	 0.0900
75	 -0.2500	 -0.2000	 -0.0200
75 s	 -0.0700	 -0.1600	 0.0100
74	 -0.2500	 -0.2300	 -0.0400
74 s	 -0.2000	 -0.2000	 -0.0700
73	 -0.2400	 -0.2600	 -0.0200
73 s	 -0.2000	 -0.2600	 -0.0600
72	 -0.2500	 -0.2600	 -0.0200
72 s	 -0.2600	 -0.2200	 -0.0700
65	 -0.2100	 -0.1900	 -0.0200
65 s	 -0.0600	 -0.0700	 0.0500
64	 -0.2500	 -0.2300	 -0.0200
64 s	 -0.1400	 -0.0800	 -0.0600
63	 -0.2600	 -0.2500	 -0.0100
63 s	 -0.1900	 -0.1600	 -0.0300
62	 -0.2500	 -0.2600	 -0.0100
62 s	 -0.2200	 -0.2000	 -0.0800
54	 -0.2400	 -0.1900	 -0.0200
54 s	 -0.1800	 -0.1300	 -0.0400
53	 -0.2300	 -0.2400	 -0.0200
53 s	 -0.2500	 -0.1600	 -0.0800
52	 -0.2400	 -0.2500	 -0.0200
52 s	 -0.2400	 -0.2000	 -0.0600
43	 -0.2600	 -0.2700	 -0.0400
43 s	 -0.2000	 -0.2000	 -0.0800
42	 -0.2600	 -0.2500	 -0.0400
42 s	 -0.2400	 -0.2500	 -0.0600
32	 -0.2800	 -0.2900	 -0.0400
32 s	 -0.2000	 -0.2400	 -0.0600

