K2	 -0.2800	 -0.2700	 -0.0700	 -0.0700	 -0.0700	 -0.0900	 -0.0600
K2 s	 -0.1200	 -0.0400	 -0.1900	 -0.1200	 -0.1200	 -0.1200	 -0.0500
QJ	 -0.1100	 -0.1600	 0.0000	 0.0600	 0.0600	 0.0100	 0.0800
QJ s	 -0.0400	 0.1400	 0.4500	 0.2600	 0.2600	 0.3500	 0.4100
QT	 -0.1400	 -0.0800	 -0.0900	 -0.0900	 -0.0900	 0.0100	 0.1100
QT s	 -0.0900	 0.1100	 0.3200	 0.2300	 0.1800	 0.0800	 0.1300
Q9	 -0.2000	 -0.1100	 -0.0600	 -0.0800	 -0.0800	 -0.0400	 -0.0600
Q9 s	 0.0600	 -0.0300	 0.0900	 0.2400	 0.0200	 0.3100	 0.1700
Q8	 -0.2600	 -0.2400	 -0.1100	 -0.0800	 -0.0400	 -0.0900	 -0.0600
Q8 s	 -0.1900	 -0.1100	 0.1400	 -0.0300	 0.2200	 0.0300	 0.0100
Q7	 -0.2300	 -0.3300	 -0.1000	 -0.0600	 -0.0300	 -0.0300	 -0.0300
Q7 s	 -0.1600	 -0.1700	 -0.1100	 0.0100	 -0.0200	 0.0600	 0.0800
Q6	 -0.2700	 -0.3200	 -0.0300	 -0.0800	 -0.0700	 -0.0800	 -0.0300
Q6 s	 -0.0300	 -0.2900	 -0.1000	 -0.0800	 -0.0300	 0.1800	 -0.1100
Q5	 -0.3000	 -0.3000	 -0.1100	 -0.0500	 -0.0200	 -0.0400	 -0.0600
Q5 s	 -0.0700	 -0.1700	 -0.0100	 0.1100	 -0.0800	 -0.0500	 0.0000
Q4	 -0.3000	 -0.2600	 -0.1100	 -0.0500	 -0.0600	 -0.0100	 -0.0600
Q4 s	 -0.0400	 -0.1900	 -0.1200	 -0.0700	 -0.1500	 -0.0800	 0.0400
Q3	 -0.2600	 -0.3200	 -0.1100	 -0.0900	 -0.0400	 -0.0600	 -0.0300
Q3 s	 -0.2400	 -0.0300	 -0.1000	 -0.1100	 -0.1300	 0.0200	 -0.0200
Q2	 -0.3000	 -0.3700	 -0.0900	 -0.0400	 -0.0400	 -0.0500	 -0.0400
Q2 s	 -0.1200	 -0.2200	 -0.1300	 0.0000	 0.0300	 -0.0300	 -0.1000
JT	 -0.0700	 -0.1900	 0.0300	 -0.0600	 0.0100	 0.0400	 0.0600
JT s	 0.2200	 0.2000	 0.2900	 0.2100	 0.2000	 0.1200	 0.3100
J9	 -0.2100	 -0.2700	 -0.0700	 -0.0900	 -0.0400	 -0.0200	 -0.0700
J9 s	 -0.0900	 0.0700	 0.0000	 0.0600	 -0.1300	 0.0600	 0.3000
J8	 -0.2100	 -0.2700	 -0.0400	 -0.0700	 -0.0900	 -0.0100	 -0.0500
J8 s	 -0.0800	 -0.2300	 -0.0300	 0.0300	 0.0000	 -0.2800	 0.0100
J7	 -0.2300	 -0.2600	 -0.0300	 -0.0600	 -0.0400	 -0.0600	 -0.0400
J7 s	 -0.2700	 -0.1700	 0.0300	 -0.0700	 -0.0700	 0.0300	 0.0700
J6	 -0.3100	 -0.2700	 -0.1100	 -0.0400	 -0.0500	 -0.0400	 -0.0300
J6 s	 -0.1700	 -0.2500	 -0.1800	 -0.0400	 -0.0700	 -0.1100	 0.0100
J5	 -0.2900	 -0.3300	 -0.1000	 -0.0300	 -0.0400	 -0.0200	 -0.0500
J5 s	 -0.2300	 -0.1900	 -0.1200	 -0.2600	 -0.0300	 0.1800	 0.0800
J4	 -0.3300	 -0.3100	 -0.1100	 -0.0600	 -0.0100	 -0.0500	 -0.0400
J4 s	 -0.3100	 -0.3000	 -0.1400	 -0.0900	 -0.1800	 -0.0200	 -0.0700
J3	 -0.3000	 -0.3600	 -0.0600	 -0.0400	 -0.0500	 -0.0300	 -0.0800
J3 s	 -0.2300	 -0.2500	 -0.1700	 -0.0600	 -0.0800	 -0.0600	 -0.2100
J2	 -0.2700	 -0.3500	 -0.1100	 -0.0400	 -0.0500	 -0.0700	 0.0100
J2 s	 -0.2100	 -0.2600	 -0.1000	 -0.1100	 -0.0800	 0.0000	 -0.0500
T9	 0.0700	 -0.2300	 -0.1300	 0.0300	 -0.0100	 0.0300	 -0.0500
T9 s	 -0.0600	 0.0700	 0.0700	 0.2800	 -0.0100	 0.0000	 0.0500
T8	 -0.2300	 -0.1500	 -0.1200	 -0.1000	 0.0000	 -0.0200	 -0.0100
T8 s	 -0.1800	 -0.0900	 -0.1000	 -0.0200	 -0.0300	 -0.1100	 0.0400
T7	 -0.2700	 -0.2600	 -0.1200	 -0.0400	 -0.0100	 -0.0300	 -0.0800
T7 s	 -0.1300	 -0.1900	 -0.0600	 -0.0600	 -0.0500	 0.0200	 0.0400
T6	 -0.2500	 -0.3600	 -0.0800	 0.0100	 -0.0200	 -0.0400	 -0.0300
T6 s	 -0.3200	 -0.1300	 -0.0400	 -0.2300	 -0.0400	 -0.0200	 -0.0800
T5	 -0.2600	 -0.3600	 -0.0800	 -0.0300	 -0.0300	 -0.0300	 -0.0300
T5 s	 -0.2900	 -0.2500	 -0.1100	 0.0400	 -0.1600	 -0.0900	 -0.0800
T4	 -0.2900	 -0.3600	 -0.1000	 -0.0200	 -0.0300	 -0.0100	 -0.0400
T4 s	 -0.1600	 -0.3100	 0.1300	 -0.1200	 -0.0900	 -0.1100	 0.0400
T3	 -0.2900	 -0.3800	 -0.0800	 -0.0400	 -0.0200	 -0.0200	 -0.0200
T3 s	 -0.2400	 -0.0900	 -0.1200	 -0.0800	 0.1500	 -0.1300	 0.0400
T2	 -0.2600	 -0.3500	 -0.0800	 -0.0200	 0.0100	 0.0100	 -0.0200
T2 s	 -0.3000	 -0.2900	 -0.1400	 -0.1000	 -0.0600	 -0.0500	 -0.0600
98	 -0.1100	 -0.3200	 -0.0900	 0.0000	 -0.0800	 -0.0500	 -0.0600
98 s	 -0.1000	 -0.1300	 0.0000	 0.0800	 -0.0400	 0.1300	 0.1000
97	 -0.2200	 -0.2800	 -0.0800	 -0.0500	 -0.0300	 -0.0200	 -0.0300
97 s	 -0.0600	 -0.0800	 -0.1700	 -0.0200	 -0.0900	 0.0700	 0.0900
96	 -0.2800	 -0.3500	 -0.0700	 -0.0300	 -0.0500	 -0.0400	 -0.0700
96 s	 -0.1100	 -0.1900	 -0.0600	 0.0100	 0.0400	 0.0000	 -0.0400
95	 -0.2600	 -0.3500	 -0.0800	 -0.0200	 -0.0200	 -0.0200	 -0.0100
95 s	 -0.1800	 -0.2900	 -0.0900	 -0.1300	 -0.1000	 -0.0600	 -0.0600
94	 -0.2900	 -0.3600	 -0.0700	 -0.0300	 -0.0200	 -0.0200	 -0.0100
94 s	 -0.2400	 -0.3800	 -0.1200	 -0.0600	 -0.0600	 -0.1700	 -0.0600
93	 -0.3000	 -0.3500	 -0.0800	 -0.0300	 -0.0100	 -0.0200	 -0.0100
93 s	 -0.2800	 0.0200	 -0.1400	 -0.0800	 -0.0700	 -0.0800	 -0.0900
92	 -0.2700	 -0.3700	 -0.0700	 -0.0200	 -0.0100	 -0.0100	 -0.0200
92 s	 -0.2900	 -0.3700	 -0.1400	 -0.1700	 -0.0900	 -0.0500	 0.0000
87	 -0.2400	 -0.2100	 -0.1200	 -0.1000	 -0.0400	 -0.0400	 -0.0900
87 s	 -0.2800	 0.1500	 -0.0600	 -0.2200	 -0.0500	 0.1400	 0.0200
86	 -0.2600	 -0.3000	 -0.0800	 -0.0300	 0.0100	 -0.0400	 -0.0100
86 s	 -0.1700	 -0.0600	 -0.2300	 -0.0300	 -0.0600	 -0.0100	 -0.0400
85	 -0.2900	 -0.3200	 -0.0800	 -0.0100	 -0.0400	 -0.0200	 0.0000
85 s	 -0.3400	 -0.2000	 -0.1100	 0.0000	 -0.0800	 -0.0400	 -0.0500
84	 -0.2700	 -0.3600	 -0.1100	 -0.0400	 -0.0200	 -0.0300	 -0.0200
84 s	 -0.2600	 -0.0200	 -0.1100	 -0.0700	 -0.0600	 -0.0700	 0.1000
83	 -0.2800	 -0.2900	 -0.0800	 -0.0300	 -0.0100	 -0.0100	 -0.0200
83 s	 -0.3100	 -0.2800	 -0.1900	 -0.1200	 -0.1400	 -0.0300	 -0.1500
82	 -0.2700	 -0.3600	 -0.0800	 -0.0100	 -0.0100	 -0.0200	 -0.0200
82 s	 -0.3400	 -0.1500	 -0.2800	 -0.0600	 -0.0900	 -0.1000	 -0.1000
76	 -0.2400	 -0.3200	 -0.1000	 -0.0700	 -0.0600	 -0.0400	 -0.0800
76 s	 -0.2900	 -0.0600	 -0.2000	 -0.0500	 -0.1200	 0.2900	 0.0300
75	 -0.2700	 -0.3300	 -0.0400	 -0.0700	 0.0300	 -0.0400	 -0.0300
75 s	 -0.1000	 -0.1300	 -0.1500	 -0.0700	 -0.0400	 -0.1200	 -0.0700
74	 -0.2700	 -0.3600	 -0.0500	 -0.0300	 -0.0300	 -0.0100	 -0.0200
