J3	 -0.2600	 -0.2800	 -0.0500	 -0.0300
J3 s	 -0.2100	 -0.1600	 -0.1200	 -0.0400
J2	 -0.2500	 -0.2800	 -0.0600	 -0.0300
J2 s	 -0.1900	 -0.2400	 -0.0700	 -0.0600
T9	 -0.1300	 -0.1300	 0.0000	 0.0500
T9 s	 -0.0100	 0.0500	 0.1600	 0.2600
T8	 -0.1500	 -0.1900	 -0.0400	 0.0100
T8 s	 -0.0400	 -0.0400	 0.0800	 0.1300
T7	 -0.2000	 -0.2200	 -0.0500	 -0.0100
T7 s	 -0.0700	 -0.0800	 0.0700	 0.1000
T6	 -0.2400	 -0.2700	 -0.0100	 -0.0200
T6 s	 -0.1400	 -0.1700	 -0.0600	 0.0000
T5	 -0.2400	 -0.3000	 -0.0400	 -0.0200
T5 s	 -0.1900	 -0.2200	 -0.0600	 -0.0600
T4	 -0.2500	 -0.3000	 -0.0300	 -0.0200
T4 s	 -0.2500	 -0.1800	 -0.0600	 -0.0300
T3	 -0.2600	 -0.2900	 -0.0300	 -0.0200
T3 s	 -0.2300	 -0.2500	 -0.0800	 -0.0500
T2	 -0.2500	 -0.3000	 -0.0300	 -0.0300
T2 s	 -0.2100	 -0.2200	 -0.0600	 -0.0600
98	 -0.1500	 -0.1500	 -0.0600	 -0.0400
98 s	 -0.0600	 0.0300	 0.0900	 0.1200
97	 -0.2100	 -0.2000	 -0.0300	 -0.0200
97 s	 -0.1300	 -0.0700	 0.0000	 0.0600
96	 -0.2300	 -0.2500	 -0.0400	 -0.0200
96 s	 -0.2000	 -0.1500	 -0.0400	 -0.0400
95	 -0.2500	 -0.2800	 -0.0300	 -0.0200
95 s	 -0.2000	 -0.2000	 -0.0900	 -0.0500
94	 -0.2500	 -0.3000	 -0.0300	 -0.0100
94 s	 -0.2100	 -0.2000	 -0.0900	 -0.0600
93	 -0.2600	 -0.3100	 -0.0300	 -0.0100
93 s	 -0.2500	 -0.2400	 -0.0500	 -0.0900
92	 -0.2500	 -0.3200	 -0.0400	 -0.0100
92 s	 -0.1600	 -0.2400	 -0.1000	 -0.0600
87	 -0.2000	 -0.1900	 -0.0700	 -0.0300
87 s	 -0.1100	 -0.0400	 0.1200	 0.0800
86	 -0.2100	 -0.2300	 -0.0400	 -0.0300
86 s	 -0.1700	 -0.0700	 -0.0400	 0.0500
85	 -0.2300	 -0.2700	 -0.0300	 -0.0100
85 s	 -0.1600	 -0.1700	 -0.0900	 0.0000
84	 -0.2600	 -0.2900	 -0.0300	 -0.0100
84 s	 -0.2000	 -0.1800	 -0.0800	 -0.0400
83	 -0.2500	 -0.3300	 -0.0300	 -0.0100
83 s	 -0.2500	 -0.2200	 -0.1100	 -0.0800
82	 -0.2600	 -0.3200	 -0.0300	 -0.0100
82 s	 -0.2700	 -0.2200	 -0.1000	 -0.0800
76	 -0.2100	 -0.2200	 -0.0700	 -0.0500
76 s	 -0.1100	 -0.0400	 0.0200	 0.0500
75	 -0.2500	 -0.2600	 -0.0400	 -0.0300
75 s	 -0.1800	 -0.1800	 -0.0800	 -0.0100
74	 -0.2500	 -0.2900	 -0.0300	 -0.0200
74 s	 -0.2000	 -0.1600	 -0.0700	 -0.0800
73	 -0.2600	 -0.3200	 -0.0400	 -0.0100
73 s	 -0.2500	 -0.2500	 -0.1000	 -0.0700
72	 -0.2500	 -0.3300	 -0.0300	 -0.0100
72 s	 -0.2800	 -0.2400	 -0.1300	 -0.0600
65	 -0.2500	 -0.2400	 -0.0800	 -0.0300
65 s	 -0.1300	 -0.1500	 -0.0500	 0.0000
64	 -0.2500	 -0.2800	 -0.0300	 -0.0200
64 s	 -0.2200	 -0.1600	 -0.0800	 -0.0500
63	 -0.2500	 -0.2900	 -0.0300	 -0.0200
63 s	 -0.2300	 -0.1800	 -0.0900	 -0.0700
62	 -0.2500	 -0.3300	 -0.0300	 -0.0100
62 s	 -0.2700	 -0.2600	 -0.0700	 -0.0800
54	 -0.2500	 -0.2600	 -0.0600	 -0.0400
54 s	 -0.1600	 -0.1100	 0.0000	 -0.0300
53	 -0.2500	 -0.2800	 -0.0300	 -0.0300
53 s	 -0.2000	 -0.2100	 -0.0900	 -0.0700
52	 -0.2700	 -0.3200	 -0.0400	 -0.0200
52 s	 -0.2500	 -0.2300	 -0.1100	 -0.0600
43	 -0.2600	 -0.3000	 -0.0400	 -0.0400
43 s	 -0.2300	 -0.2000	 -0.0400	 -0.0800
42	 -0.2600	 -0.3000	 -0.0400	 -0.0200
42 s	 -0.2400	 -0.2300	 -0.1000	 -0.0900
32	 -0.2800	 -0.3200	 -0.0600	 -0.0400
32 s	 -0.2400	 -0.2900	 -0.1200	 -0.0800

